# t theta omega E_kin E_pot E_tot
1.01000 -0.73247 -0.78426 0.30753 2.51604 2.82357
1.02000 -0.74003 -0.72762 0.26472 2.56584 2.83056
1.03000 -0.74702 -0.67051 0.22479 2.61226 2.83706
1.04000 -0.75344 -0.61296 0.18786 2.65519 2.84305
1.05000 -0.75928 -0.55500 0.15401 2.69451 2.84852
1.06000 -0.76454 -0.49667 0.12334 2.73012 2.85346
1.07000 -0.76921 -0.43800 0.09592 2.76193 2.85785
1.08000 -0.77330 -0.37902 0.07183 2.78987 2.86170
1.09000 -0.77679 -0.31978 0.05113 2.81385 2.86498
1.10000 -0.77969 -0.26030 0.03388 2.83383 2.86771
1.11000 -0.78200 -0.20061 0.02012 2.84974 2.86987
1.12000 -0.78371 -0.14076 0.00991 2.86155 2.87146
1.13000 -0.78481 -0.08076 0.00326 2.86923 2.87249
1.14000 -0.78532 -0.02066 0.00021 2.87275 2.87296
1.15000 -0.78523 0.03951 0.00078 2.87209 2.87287
1.16000 -0.78453 0.09973 0.00497 2.86727 2.87224
1.17000 -0.78323 0.15995 0.01279 2.85827 2.87106
1.18000 -0.78133 0.22014 0.02423 2.84513 2.86936
1.19000 -0.77883 0.28027 0.03928 2.82787 2.86714
1.20000 -0.77573 0.34031 0.05791 2.80652 2.86442
1.21000 -0.77202 0.40022 0.08009 2.78113 2.86122
1.22000 -0.76772 0.45996 0.10578 2.75176 2.85755
1.23000 -0.76283 0.51951 0.13495 2.71848 2.85342
1.24000 -0.75733 0.57882 0.16752 2.68136 2.84888
1.25000 -0.75125 0.63786 0.20343 2.64049 2.84393
1.26000 -0.74458 0.69659 0.24262 2.59597 2.83859
1.27000 -0.73732 0.75498 0.28499 2.54791 2.83291
1.28000 -0.72948 0.81298 0.33046 2.49643 2.82689
1.29000 -0.72106 0.87055 0.37893 2.44165 2.82058
1.30000 -0.71207 0.92766 0.43028 2.38372 2.81399
1.31000 -0.70251 0.98427 0.48439 2.32278 2.80717
1.32000 -0.69239 1.04032 0.54114 2.25900 2.80013
